program_label,program,geoid,category,stusab,state,state_name,county,county_name,tract,pct_occupied,pct_minority,total_units,number_reported,pct_reported,pct_2adults,pct_1adult,pct_disabled_all,pct_age62plus,pct_white,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,pct_bed1,pct_bed2,pct_bed3,pct_hhwch,name,states
Public Housing,2,17031380600,census tract,IL,17,Illinois,031,Cook County,380600,89.0,100.0,237.0,211,100.0,1.0,45.0,17.0,27.0,0.0,99.0,,,1.0,12.0,36.0,52.0,46.0,IL Illinois Cook County 380600,IL Illinois
Housing Choice Vouchers,3,17031380600,census tract,IL,17,Illinois,031,Cook County,380600,87.0,100.0,162.0,143,100.0,,48.0,17.0,23.0,0.0,100.0,,,0.0,6.0,48.0,46.0,48.0,IL Illinois Cook County 380600,IL Illinois
Project Based Section 8,4,17031380600,census tract,IL,17,Illinois,031,Cook County,380600,99.0,98.0,276.0,274,100.0,,,26.0,91.0,2.0,97.0,,,1.0,98.0,2.0,,,IL Illinois Cook County 380600,IL Illinois
Other Multifamily,5,17031380600,census tract,IL,17,Illinois,031,Cook County,380600,99.0,100.0,44.0,42,98.0,,,10.0,100.0,0.0,98.0,,,2.0,100.0,,,,IL Illinois Cook County 380600,IL Illinois
Summary,1,17031381200,census tract,IL,17,Illinois,031,Cook County,381200,91.0,99.0,367.0,331,99.0,0.0,27.0,23.0,37.0,1.0,98.0,,,1.0,50.0,29.0,21.0,27.0,IL Illinois Cook County 381200,IL Illinois
Housing Choice Vouchers,3,17031381200,census tract,IL,17,Illinois,031,Cook County,381200,87.0,99.0,142.0,125,100.0,1.0,40.0,21.0,27.0,1.0,98.0,,,1.0,16.0,34.0,50.0,41.0,IL Illinois Cook County 381200,IL Illinois
Project Based Section 8,4,17031381200,census tract,IL,17,Illinois,031,Cook County,381200,93.0,99.0,225.0,206,98.0,,20.0,25.0,42.0,1.0,97.0,,,1.0,71.0,26.0,3.0,20.0,IL Illinois Cook County 381200,IL Illinois
Summary,1,17031381400,census tract,IL,17,Illinois,031,Cook County,381400,87.0,100.0,193.0,170,100.0,,45.0,15.0,22.0,0.0,98.0,,1.0,2.0,9.0,34.0,56.0,45.0,IL Illinois Cook County 381400,IL Illinois
Public Housing,2,17031381400,census tract,IL,17,Illinois,031,Cook County,381400,87.0,100.0,14.0,12,100.0,,67.0,11.0,8.0,0.0,92.0,,,8.0,17.0,33.0,50.0,67.0,IL Illinois Cook County 381400,IL Illinois
Housing Choice Vouchers,3,17031381400,census tract,IL,17,Illinois,031,Cook County,381400,87.0,100.0,179.0,158,100.0,,43.0,16.0,23.0,0.0,98.0,,1.0,1.0,9.0,34.0,57.0,43.0,IL Illinois Cook County 381400,IL Illinois
Summary,1,17031381500,census tract,IL,17,Illinois,031,Cook County,381500,88.0,100.0,190.0,169,100.0,,15.0,27.0,73.0,0.0,99.0,,,1.0,69.0,14.0,17.0,15.0,IL Illinois Cook County 381500,IL Illinois
Public Housing,2,17031381500,census tract,IL,17,Illinois,031,Cook County,381500,90.0,100.0,75.0,68,100.0,,7.0,4.0,79.0,0.0,99.0,,,1.0,82.0,,18.0,7.0,IL Illinois Cook County 381500,IL Illinois
Housing Choice Vouchers,3,17031381500,census tract,IL,17,Illinois,031,Cook County,381500,87.0,100.0,114.0,101,100.0,,20.0,40.0,69.0,0.0,99.0,,,1.0,60.0,23.0,17.0,20.0,IL Illinois Cook County 381500,IL Illinois
Summary,1,17031381800,census tract,IL,17,Illinois,031,Cook County,381800,90.0,100.0,190.0,176,100.0,,26.0,16.0,44.0,0.0,99.0,,,1.0,55.0,16.0,28.0,26.0,IL Illinois Cook County 381800,IL Illinois
Housing Choice Vouchers,3,17031381800,census tract,IL,17,Illinois,031,Cook County,381800,87.0,100.0,130.0,115,100.0,,39.0,20.0,15.0,0.0,99.0,,,1.0,31.0,25.0,43.0,39.0,IL Illinois Cook County 381800,IL Illinois
Project Based Section 8,4,17031381800,census tract,IL,17,Illinois,031,Cook County,381800,99.0,100.0,60.0,61,100.0,,2.0,0.0,100.0,0.0,100.0,,,0.0,100.0,,,2.0,IL Illinois Cook County 381800,IL Illinois
Summary,1,17031381900,census tract,IL,17,Illinois,031,Cook County,381900,94.0,99.0,90.0,85,100.0,1.0,14.0,39.0,73.0,1.0,99.0,,,0.0,66.0,21.0,13.0,15.0,IL Illinois Cook County 381900,IL Illinois
Housing Choice Vouchers,3,17031381900,census tract,IL,17,Illinois,031,Cook County,381900,87.0,100.0,23.0,20,100.0,,20.0,31.0,55.0,0.0,100.0,,,0.0,10.0,45.0,45.0,20.0,IL Illinois Cook County 381900,IL Illinois
Project Based Section 8,4,17031381900,census tract,IL,17,Illinois,031,Cook County,381900,97.0,98.0,67.0,65,100.0,2.0,12.0,43.0,78.0,2.0,98.0,,,0.0,83.0,14.0,3.0,14.0,IL Illinois Cook County 381900,IL Illinois
Summary,1,17031390100,census tract,IL,17,Illinois,031,Cook County,390100,86.0,100.0,176.0,155,100.0,1.0,46.0,12.0,16.0,0.0,98.0,,,2.0,1.0,63.0,35.0,47.0,IL Illinois Cook County 390100,IL Illinois
Public Housing,2,17031390100,census tract,IL,17,Illinois,031,Cook County,390100,85.0,100.0,21.0,18,100.0,6.0,56.0,10.0,6.0,0.0,100.0,,,0.0,,28.0,72.0,62.0,IL Illinois Cook County 390100,IL Illinois
Housing Choice Vouchers,3,17031390100,census tract,IL,17,Illinois,031,Cook County,390100,87.0,100.0,155.0,137,100.0,,45.0,12.0,18.0,0.0,98.0,,,2.0,1.0,68.0,31.0,45.0,IL Illinois Cook County 390100,IL Illinois
Summary,1,17031390200,census tract,IL,17,Illinois,031,Cook County,390200,87.0,100.0,96.0,85,100.0,2.0,40.0,15.0,20.0,0.0,100.0,,,0.0,20.0,32.0,48.0,42.0,IL Illinois Cook County 390200,IL Illinois
Public Housing,2,17031390200,census tract,IL,17,Illinois,031,Cook County,390200,88.0,100.0,33.0,29,100.0,3.0,24.0,18.0,10.0,0.0,100.0,,,0.0,10.0,38.0,52.0,27.0,IL Illinois Cook County 390200,IL Illinois
Housing Choice Vouchers,3,17031390200,census tract,IL,17,Illinois,031,Cook County,390200,87.0,100.0,63.0,56,100.0,2.0,48.0,14.0,25.0,0.0,100.0,,,0.0,25.0,29.0,46.0,50.0,IL Illinois Cook County 390200,IL Illinois
Summary,1,17031390300,census tract,IL,17,Illinois,031,Cook County,390300,88.0,99.0,919.0,840,100.0,1.0,40.0,16.0,26.0,1.0,98.0,0.0,0.0,1.0,39.0,41.0,20.0,41.0,IL Illinois Cook County 390300,IL Illinois
Public Housing,2,17031390300,census tract,IL,17,Illinois,031,Cook County,390300,85.0,100.0,19.0,16,100.0,,75.0,12.0,13.0,0.0,100.0,,,0.0,,,100.0,75.0,IL Illinois Cook County 390300,IL Illinois
Housing Choice Vouchers,3,17031390300,census tract,IL,17,Illinois,031,Cook County,390300,87.0,99.0,430.0,380,100.0,1.0,43.0,15.0,13.0,1.0,97.0,1.0,,1.0,29.0,52.0,19.0,44.0,IL Illinois Cook County 390300,IL Illinois
Project Based Section 8,4,17031390300,census tract,IL,17,Illinois,031,Cook County,390300,90.0,100.0,470.0,444,100.0,1.0,36.0,17.0,37.0,0.0,99.0,,0.0,0.0,48.0,34.0,17.0,37.0,IL Illinois Cook County 390300,IL Illinois
Summary,1,17031390400,census tract,IL,17,Illinois,031,Cook County,390400,88.0,100.0,693.0,630,100.0,2.0,27.0,18.0,50.0,0.0,99.0,,,1.0,58.0,27.0,15.0,29.0,IL Illinois Cook County 390400,IL Illinois
Public Housing,2,17031390400,census tract,IL,17,Illinois,031,Cook County,390400,89.0,99.0,95.0,85,100.0,,,63.0,99.0,1.0,99.0,,,0.0,100.0,,,,IL Illinois Cook County 390400,IL Illinois
Housing Choice Vouchers,3,17031390400,census tract,IL,17,Illinois,031,Cook County,390400,87.0,100.0,179.0,158,100.0,,25.0,36.0,39.0,0.0,100.0,,,0.0,46.0,36.0,18.0,25.0,IL Illinois Cook County 390400,IL Illinois
Project Based Section 8,4,17031390400,census tract,IL,17,Illinois,031,Cook County,390400,86.0,100.0,361.0,330,100.0,3.0,40.0,7.0,33.0,0.0,98.0,,,1.0,45.0,34.0,21.0,43.0,IL Illinois Cook County 390400,IL Illinois
Other Multifamily,5,17031390400,census tract,IL,17,Illinois,031,Cook County,390400,100.0,100.0,58.0,57,98.0,,,0.0,100.0,0.0,100.0,,,0.0,100.0,,,,IL Illinois Cook County 390400,IL Illinois
Summary,1,17031390500,census tract,IL,17,Illinois,031,Cook County,390500,85.0,100.0,52.0,46,100.0,2.0,30.0,23.0,17.0,0.0,98.0,,,2.0,22.0,61.0,17.0,32.0,IL Illinois Cook County 390500,IL Illinois
Housing Choice Vouchers,3,17031390500,census tract,IL,17,Illinois,031,Cook County,390500,87.0,100.0,42.0,37,100.0,3.0,30.0,25.0,19.0,0.0,97.0,,,3.0,27.0,51.0,22.0,33.0,IL Illinois Cook County 390500,IL Illinois
Project Based Section 8,4,17031390500,census tract,IL,17,Illinois,031,Cook County,390500,,,11.0,9,,,,,,,,,,,,,,,IL Illinois Cook County 390500,IL Illinois
Summary,1,17031390600,census tract,IL,17,Illinois,031,Cook County,390600,88.0,98.0,268.0,240,100.0,0.0,29.0,22.0,29.0,2.0,96.0,,,2.0,48.0,37.0,15.0,29.0,IL Illinois Cook County 390600,IL Illinois
Housing Choice Vouchers,3,17031390600,census tract,IL,17,Illinois,031,Cook County,390600,87.0,98.0,225.0,199,100.0,1.0,32.0,23.0,30.0,2.0,96.0,,,2.0,42.0,43.0,16.0,33.0,IL Illinois Cook County 390600,IL Illinois
Project Based Section 8,4,17031390600,census tract,IL,17,Illinois,031,Cook County,390600,98.0,95.0,43.0,41,97.0,,15.0,16.0,24.0,5.0,95.0,,,0.0,78.0,7.0,15.0,15.0,IL Illinois Cook County 390600,IL Illinois
Summary,1,17031390700,census tract,IL,17,Illinois,031,Cook County,390700,87.0,99.0,449.0,396,100.0,,32.0,24.0,24.0,1.0,98.0,0.0,,1.0,34.0,54.0,12.0,32.0,IL Illinois Cook County 390700,IL Illinois
Public Housing,2,17031390700,census tract,IL,17,Illinois,031,Cook County,390700,,,8.0,7,,,,,,,,,,,,,,,IL Illinois Cook County 390700,IL Illinois
Housing Choice Vouchers,3,17031390700,census tract,IL,17,Illinois,031,Cook County,390700,87.0,99.0,441.0,389,100.0,,31.0,24.0,24.0,1.0,98.0,0.0,,1.0,35.0,55.0,10.0,31.0,IL Illinois Cook County 390700,IL Illinois
Summary,1,17031400300,census tract,IL,17,Illinois,031,Cook County,400300,87.0,99.0,201.0,178,100.0,1.0,49.0,16.0,21.0,1.0,97.0,1.0,,2.0,10.0,37.0,54.0,50.0,IL Illinois Cook County 400300,IL Illinois
Housing Choice Vouchers,3,17031400300,census tract,IL,17,Illinois,031,Cook County,400300,87.0,99.0,177.0,156,100.0,1.0,54.0,13.0,16.0,1.0,97.0,1.0,,2.0,7.0,36.0,57.0,55.0,IL Illinois Cook County 400300,IL Illinois
Other Multifamily,5,17031400300,census tract,IL,17,Illinois,031,Cook County,400300,90.0,100.0,24.0,22,100.0,,14.0,54.0,59.0,0.0,100.0,,,0.0,27.0,41.0,32.0,14.0,IL Illinois Cook County 400300,IL Illinois
Summary,1,17031400400,census tract,IL,17,Illinois,031,Cook County,400400,87.0,100.0,240.0,213,100.0,2.0,50.0,13.0,11.0,0.0,99.0,,,1.0,6.0,40.0,54.0,52.0,IL Illinois Cook County 400400,IL Illinois
Housing Choice Vouchers,3,17031400400,census tract,IL,17,Illinois,031,Cook County,400400,87.0,100.0,230.0,203,100.0,2.0,50.0,13.0,12.0,0.0,99.0,,,1.0,5.0,40.0,55.0,52.0,IL Illinois Cook County 400400,IL Illinois
Project Based Section 8,4,17031400400,census tract,IL,17,Illinois,031,Cook County,400400,,,10.0,10,,,,,,,,,,,,,,,IL Illinois Cook County 400400,IL Illinois
Summary,1,17031400500,census tract,IL,17,Illinois,031,Cook County,400500,89.0,100.0,375.0,338,100.0,1.0,49.0,12.0,30.0,0.0,98.0,,0.0,1.0,19.0,28.0,53.0,50.0,IL Illinois Cook County 400500,IL Illinois
Public Housing,2,17031400500,census tract,IL,17,Illinois,031,Cook County,400500,,,2.0,2,,,,,,,,,,,,,,,IL Illinois Cook County 400500,IL Illinois
Housing Choice Vouchers,3,17031400500,census tract,IL,17,Illinois,031,Cook County,400500,87.0,100.0,283.0,250,100.0,1.0,57.0,12.0,17.0,0.0,98.0,,,2.0,2.0,31.0,66.0,58.0,IL Illinois Cook County 400500,IL Illinois
Project Based Section 8,4,17031400500,census tract,IL,17,Illinois,031,Cook County,400500,98.0,100.0,90.0,86,97.0,,24.0,15.0,67.0,0.0,98.0,,1.0,1.0,67.0,19.0,14.0,24.0,IL Illinois Cook County 400500,IL Illinois
Summary,1,17031400800,census tract,IL,17,Illinois,031,Cook County,400800,89.0,97.0,712.0,642,100.0,0.0,43.0,13.0,29.0,3.0,96.0,,,1.0,25.0,42.0,32.0,43.0,IL Illinois Cook County 400800,IL Illinois
Public Housing,2,17031400800,census tract,IL,17,Illinois,031,Cook County,400800,88.0,100.0,31.0,27,100.0,4.0,67.0,8.0,,0.0,100.0,,,0.0,11.0,11.0,78.0,71.0,IL Illinois Cook County 400800,IL Illinois
Housing Choice Vouchers,3,17031400800,census tract,IL,17,Illinois,031,Cook County,400800,87.0,100.0,336.0,297,100.0,0.0,45.0,17.0,19.0,0.0,98.0,,,2.0,6.0,47.0,47.0,45.0,IL Illinois Cook County 400800,IL Illinois
Project Based Section 8,4,17031400800,census tract,IL,17,Illinois,031,Cook County,400800,90.0,99.0,252.0,228,100.0,0.0,53.0,9.0,17.0,1.0,98.0,,,1.0,23.0,56.0,21.0,53.0,IL Illinois Cook County 400800,IL Illinois
Other Multifamily,5,17031400800,census tract,IL,17,Illinois,031,Cook County,400800,97.0,83.0,93.0,90,100.0,,,3.0,100.0,17.0,82.0,,,1.0,100.0,,,,IL Illinois Cook County 400800,IL Illinois
Summary,1,17031410100,census tract,IL,17,Illinois,031,Cook County,410100,86.0,98.0,118.0,104,100.0,,28.0,28.0,29.0,2.0,96.0,1.0,,1.0,38.0,56.0,7.0,28.0,IL Illinois Cook County 410100,IL Illinois
Public Housing,2,17031410100,census tract,IL,17,Illinois,031,Cook County,410100,,,6.0,5,,,,,,,,,,,,,,,IL Illinois Cook County 410100,IL Illinois
Housing Choice Vouchers,3,17031410100,census tract,IL,17,Illinois,031,Cook County,410100,87.0,98.0,111.0,98,100.0,,28.0,30.0,30.0,2.0,96.0,1.0,,1.0,39.0,57.0,4.0,28.0,IL Illinois Cook County 410100,IL Illinois
Other Multifamily,5,17031410100,census tract,IL,17,Illinois,031,Cook County,410100,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Cook County 410100,IL Illinois
Summary,1,17031410200,census tract,IL,17,Illinois,031,Cook County,410200,87.0,100.0,51.0,45,100.0,,22.0,27.0,18.0,0.0,100.0,,,0.0,31.0,58.0,11.0,22.0,IL Illinois Cook County 410200,IL Illinois
Housing Choice Vouchers,3,17031410200,census tract,IL,17,Illinois,031,Cook County,410200,87.0,100.0,51.0,45,100.0,,22.0,27.0,18.0,0.0,100.0,,,0.0,31.0,58.0,11.0,22.0,IL Illinois Cook County 410200,IL Illinois
Summary,1,17031410500,census tract,IL,17,Illinois,031,Cook County,410500,88.0,99.0,303.0,270,100.0,,27.0,24.0,30.0,1.0,97.0,0.0,,1.0,40.0,37.0,23.0,27.0,IL Illinois Cook County 410500,IL Illinois
Housing Choice Vouchers,3,17031410500,census tract,IL,17,Illinois,031,Cook County,410500,87.0,99.0,238.0,210,100.0,,25.0,25.0,33.0,1.0,98.0,0.0,,0.0,32.0,44.0,23.0,25.0,IL Illinois Cook County 410500,IL Illinois
Project Based Section 8,4,17031410500,census tract,IL,17,Illinois,031,Cook County,410500,91.0,97.0,65.0,60,100.0,,33.0,21.0,17.0,3.0,93.0,,,3.0,67.0,13.0,20.0,33.0,IL Illinois Cook County 410500,IL Illinois
Summary,1,17031410600,census tract,IL,17,Illinois,031,Cook County,410600,86.0,100.0,76.0,66,100.0,,15.0,31.0,44.0,0.0,97.0,,,3.0,39.0,42.0,18.0,15.0,IL Illinois Cook County 410600,IL Illinois
Public Housing,2,17031410600,census tract,IL,17,Illinois,031,Cook County,410600,,,9.0,7,,,,,,,,,,,,,,,IL Illinois Cook County 410600,IL Illinois
Housing Choice Vouchers,3,17031410600,census tract,IL,17,Illinois,031,Cook County,410600,87.0,100.0,67.0,59,100.0,,17.0,29.0,39.0,0.0,98.0,,,2.0,32.0,47.0,20.0,17.0,IL Illinois Cook County 410600,IL Illinois
Summary,1,17031410700,census tract,IL,17,Illinois,031,Cook County,410700,87.0,100.0,41.0,36,100.0,,31.0,26.0,39.0,0.0,100.0,,,0.0,42.0,42.0,17.0,31.0,IL Illinois Cook County 410700,IL Illinois
Housing Choice Vouchers,3,17031410700,census tract,IL,17,Illinois,031,Cook County,410700,87.0,100.0,41.0,36,100.0,,31.0,26.0,39.0,0.0,100.0,,,0.0,42.0,42.0,17.0,31.0,IL Illinois Cook County 410700,IL Illinois
Summary,1,17031410800,census tract,IL,17,Illinois,031,Cook County,410800,94.0,93.0,118.0,114,100.0,1.0,12.0,27.0,65.0,7.0,85.0,,1.0,7.0,68.0,24.0,9.0,13.0,IL Illinois Cook County 410800,IL Illinois
Housing Choice Vouchers,3,17031410800,census tract,IL,17,Illinois,031,Cook County,410800,87.0,98.0,45.0,40,100.0,3.0,35.0,17.0,30.0,2.0,95.0,,,3.0,25.0,50.0,25.0,38.0,IL Illinois Cook County 410800,IL Illinois
Project Based Section 8,4,17031410800,census tract,IL,17,Illinois,031,Cook County,410800,98.0,91.0,73.0,74,100.0,,,38.0,84.0,9.0,80.0,,1.0,9.0,91.0,9.0,,,IL Illinois Cook County 410800,IL Illinois
Summary,1,17031410900,census tract,IL,17,Illinois,031,Cook County,410900,87.0,98.0,134.0,119,100.0,,24.0,32.0,28.0,2.0,98.0,,,0.0,57.0,34.0,9.0,24.0,IL Illinois Cook County 410900,IL Illinois
Housing Choice Vouchers,3,17031410900,census tract,IL,17,Illinois,031,Cook County,410900,87.0,99.0,116.0,102,100.0,,27.0,26.0,25.0,1.0,99.0,,,0.0,52.0,37.0,11.0,27.0,IL Illinois Cook County 410900,IL Illinois
Project Based Section 8,4,17031410900,census tract,IL,17,Illinois,031,Cook County,410900,90.0,94.0,18.0,17,100.0,,,94.0,47.0,6.0,94.0,,,0.0,88.0,12.0,,,IL Illinois Cook County 410900,IL Illinois
Summary,1,17031411000,census tract,IL,17,Illinois,031,Cook County,411000,87.0,100.0,112.0,99,100.0,1.0,18.0,32.0,27.0,0.0,98.0,,,2.0,59.0,27.0,14.0,19.0,IL Illinois Cook County 411000,IL Illinois
Housing Choice Vouchers,3,17031411000,census tract,IL,17,Illinois,031,Cook County,411000,87.0,100.0,112.0,99,100.0,1.0,18.0,32.0,27.0,0.0,98.0,,,2.0,59.0,27.0,14.0,19.0,IL Illinois Cook County 411000,IL Illinois
Summary,1,17031411100,census tract,IL,17,Illinois,031,Cook County,411100,,,6.0,5,,,,,,,,,,,,,,,IL Illinois Cook County 411100,IL Illinois
Housing Choice Vouchers,3,17031411100,census tract,IL,17,Illinois,031,Cook County,411100,,,6.0,5,,,,,,,,,,,,,,,IL Illinois Cook County 411100,IL Illinois
Summary,1,17031411200,census tract,IL,17,Illinois,031,Cook County,411200,82.0,100.0,30.0,25,100.0,,28.0,27.0,32.0,0.0,100.0,,,0.0,52.0,36.0,12.0,28.0,IL Illinois Cook County 411200,IL Illinois
Public Housing,2,17031411200,census tract,IL,17,Illinois,031,Cook County,411200,79.0,100.0,20.0,16,100.0,,13.0,25.0,44.0,0.0,100.0,,,0.0,69.0,13.0,19.0,13.0,IL Illinois Cook County 411200,IL Illinois
Housing Choice Vouchers,3,17031411200,census tract,IL,17,Illinois,031,Cook County,411200,,,10.0,9,,,,,,,,,,,,,,,IL Illinois Cook County 411200,IL Illinois
Summary,1,17031420100,census tract,IL,17,Illinois,031,Cook County,420100,93.0,99.0,460.0,420,98.0,,17.0,20.0,60.0,1.0,98.0,,0.0,1.0,64.0,14.0,22.0,17.0,IL Illinois Cook County 420100,IL Illinois
Public Housing,2,17031420100,census tract,IL,17,Illinois,031,Cook County,420100,,,11.0,9,,,,,,,,,,,,,,,IL Illinois Cook County 420100,IL Illinois
Housing Choice Vouchers,3,17031420100,census tract,IL,17,Illinois,031,Cook County,420100,87.0,100.0,34.0,30,100.0,,20.0,27.0,40.0,0.0,100.0,,,0.0,17.0,67.0,17.0,20.0,IL Illinois Cook County 420100,IL Illinois
Project Based Section 8,4,17031420100,census tract,IL,17,Illinois,031,Cook County,420100,94.0,99.0,415.0,381,98.0,,15.0,19.0,62.0,1.0,98.0,,0.0,1.0,69.0,10.0,20.0,15.0,IL Illinois Cook County 420100,IL Illinois
Summary,1,17031420200,census tract,IL,17,Illinois,031,Cook County,420200,90.0,100.0,174.0,155,100.0,1.0,30.0,19.0,25.0,0.0,98.0,,,2.0,58.0,10.0,32.0,31.0,IL Illinois Cook County 420200,IL Illinois
Public Housing,2,17031420200,census tract,IL,17,Illinois,031,Cook County,420200,85.0,100.0,13.0,11,100.0,,73.0,3.0,,0.0,100.0,,,0.0,,,100.0,73.0,IL Illinois Cook County 420200,IL Illinois
Housing Choice Vouchers,3,17031420200,census tract,IL,17,Illinois,031,Cook County,420200,87.0,100.0,71.0,63,100.0,,17.0,19.0,27.0,0.0,97.0,,,3.0,65.0,8.0,27.0,17.0,IL Illinois Cook County 420200,IL Illinois
Project Based Section 8,4,17031420200,census tract,IL,17,Illinois,031,Cook County,420200,93.0,100.0,89.0,81,98.0,1.0,33.0,22.0,26.0,0.0,99.0,,,1.0,60.0,14.0,26.0,34.0,IL Illinois Cook County 420200,IL Illinois
Summary,1,17031420300,census tract,IL,17,Illinois,031,Cook County,420300,90.0,96.0,102.0,91,100.0,,27.0,22.0,37.0,4.0,96.0,,,0.0,22.0,23.0,55.0,27.0,IL Illinois Cook County 420300,IL Illinois
Housing Choice Vouchers,3,17031420300,census tract,IL,17,Illinois,031,Cook County,420300,87.0,97.0,67.0,59,100.0,,24.0,23.0,37.0,3.0,97.0,,,0.0,14.0,25.0,61.0,24.0,IL Illinois Cook County 420300,IL Illinois
Project Based Section 8,4,17031420300,census tract,IL,17,Illinois,031,Cook County,420300,95.0,94.0,35.0,32,96.0,,34.0,21.0,38.0,6.0,94.0,,,0.0,38.0,19.0,44.0,34.0,IL Illinois Cook County 420300,IL Illinois
Summary,1,17031420400,census tract,IL,17,Illinois,031,Cook County,420400,94.0,99.0,407.0,329,86.0,1.0,20.0,18.0,59.0,1.0,98.0,0.0,,0.0,63.0,22.0,15.0,21.0,IL Illinois Cook County 420400,IL Illinois
Housing Choice Vouchers,3,17031420400,census tract,IL,17,Illinois,031,Cook County,420400,87.0,100.0,85.0,75,100.0,3.0,29.0,26.0,32.0,0.0,100.0,,,0.0,15.0,52.0,33.0,32.0,IL Illinois Cook County 420400,IL Illinois
Project Based Section 8,4,17031420400,census tract,IL,17,Illinois,031,Cook County,420400,96.0,98.0,274.0,206,78.0,0.0,21.0,17.0,59.0,2.0,98.0,,,0.0,71.0,17.0,12.0,21.0,IL Illinois Cook County 420400,IL Illinois
Other Multifamily,5,17031420400,census tract,IL,17,Illinois,031,Cook County,420400,93.0,100.0,48.0,48,100.0,,,0.0,100.0,0.0,98.0,2.0,,0.0,100.0,,,,IL Illinois Cook County 420400,IL Illinois
Summary,1,17031420500,census tract,IL,17,Illinois,031,Cook County,420500,88.0,99.0,332.0,266,91.0,0.0,27.0,22.0,45.0,1.0,98.0,,,0.0,33.0,33.0,34.0,27.0,IL Illinois Cook County 420500,IL Illinois
Housing Choice Vouchers,3,17031420500,census tract,IL,17,Illinois,031,Cook County,420500,87.0,99.0,177.0,156,100.0,1.0,37.0,19.0,26.0,1.0,99.0,,,0.0,7.0,42.0,51.0,38.0,IL Illinois Cook County 420500,IL Illinois
Project Based Section 8,4,17031420500,census tract,IL,17,Illinois,031,Cook County,420500,94.0,99.0,104.0,98,100.0,,15.0,34.0,69.0,1.0,98.0,,,1.0,65.0,23.0,11.0,15.0,IL Illinois Cook County 420500,IL Illinois
Other Multifamily,5,17031420500,census tract,IL,17,Illinois,031,Cook County,420500,82.0,100.0,52.0,12,28.0,,,0.0,100.0,0.0,100.0,,,0.0,100.0,,,,IL Illinois Cook County 420500,IL Illinois
Summary,1,17031420600,census tract,IL,17,Illinois,031,Cook County,420600,90.0,99.0,350.0,322,100.0,0.0,46.0,13.0,23.0,1.0,98.0,0.0,0.0,1.0,19.0,30.0,51.0,46.0,IL Illinois Cook County 420600,IL Illinois
Housing Choice Vouchers,3,17031420600,census tract,IL,17,Illinois,031,Cook County,420600,87.0,99.0,205.0,181,100.0,1.0,46.0,14.0,22.0,1.0,98.0,,,1.0,3.0,27.0,71.0,47.0,IL Illinois Cook County 420600,IL Illinois
Project Based Section 8,4,17031420600,census tract,IL,17,Illinois,031,Cook County,420600,94.0,99.0,145.0,141,100.0,,46.0,10.0,26.0,1.0,97.0,1.0,1.0,0.0,40.0,35.0,25.0,46.0,IL Illinois Cook County 420600,IL Illinois
Summary,1,17031420700,census tract,IL,17,Illinois,031,Cook County,420700,87.0,99.0,268.0,238,100.0,2.0,46.0,18.0,20.0,1.0,96.0,0.0,,3.0,3.0,37.0,60.0,48.0,IL Illinois Cook County 420700,IL Illinois
Housing Choice Vouchers,3,17031420700,census tract,IL,17,Illinois,031,Cook County,420700,87.0,99.0,257.0,227,100.0,1.0,45.0,19.0,21.0,1.0,96.0,,,3.0,3.0,38.0,59.0,46.0,IL Illinois Cook County 420700,IL Illinois
Project Based Section 8,4,17031420700,census tract,IL,17,Illinois,031,Cook County,420700,95.0,100.0,11.0,11,100.0,9.0,64.0,3.0,9.0,0.0,82.0,9.0,,9.0,9.0,,91.0,73.0,IL Illinois Cook County 420700,IL Illinois
Summary,1,17031420800,census tract,IL,17,Illinois,031,Cook County,420800,88.0,100.0,259.0,234,100.0,0.0,50.0,15.0,16.0,0.0,100.0,,,0.0,6.0,42.0,52.0,50.0,IL Illinois Cook County 420800,IL Illinois
Public Housing,2,17031420800,census tract,IL,17,Illinois,031,Cook County,420800,94.0,100.0,23.0,22,100.0,,50.0,10.0,14.0,0.0,100.0,,,0.0,5.0,45.0,50.0,50.0,IL Illinois Cook County 420800,IL Illinois
Housing Choice Vouchers,3,17031420800,census tract,IL,17,Illinois,031,Cook County,420800,87.0,100.0,206.0,182,100.0,1.0,45.0,18.0,19.0,0.0,100.0,,,0.0,7.0,43.0,50.0,46.0,IL Illinois Cook County 420800,IL Illinois
Project Based Section 8,4,17031420800,census tract,IL,17,Illinois,031,Cook County,420800,95.0,100.0,30.0,30,100.0,,80.0,2.0,3.0,0.0,100.0,,,0.0,3.0,30.0,67.0,80.0,IL Illinois Cook County 420800,IL Illinois
Summary,1,17031421200,census tract,IL,17,Illinois,031,Cook County,421200,87.0,100.0,75.0,66,100.0,,50.0,17.0,14.0,0.0,97.0,,,3.0,,38.0,62.0,50.0,IL Illinois Cook County 421200,IL Illinois
Housing Choice Vouchers,3,17031421200,census tract,IL,17,Illinois,031,Cook County,421200,87.0,100.0,75.0,66,100.0,,50.0,17.0,14.0,0.0,97.0,,,3.0,,38.0,62.0,50.0,IL Illinois Cook County 421200,IL Illinois
Summary,1,17031430101,census tract,IL,17,Illinois,031,Cook County,430101,87.0,100.0,452.0,401,100.0,1.0,38.0,19.0,26.0,0.0,98.0,0.0,,2.0,10.0,45.0,44.0,39.0,IL Illinois Cook County 430101,IL Illinois
